aly8942@lionstate.edu,EE320,1,1,86
amu1270@lionstate.edu,PHYS212,2,1,82
aki5907@lionstate.edu,CMPEN411,2,1,76
ash5820@lionstate.edu,CMPSC360,1,1,94
ale8219@lionstate.edu,CMPSC497,2,1,98
ale8939@lionstate.edu,CMPSC360,1,1,91
ahi5324@lionstate.edu,CMPEN351,2,1,62
abe4600@lionstate.edu,PHYS211,1,1,63
akr4205@lionstate.edu,CMPSC465,2,1,65
ato9019@lionstate.edu,PHYS214,2,1,90
asc2712@lionstate.edu,CSE583,2,1,79
abo7856@lionstate.edu,CMPEN441,2,1,92
atr9605@lionstate.edu,CMPEN431,1,1,76
aok9861@lionstate.edu,PHYS212,2,1,88
ali8897@lionstate.edu,EE352,1,1,85
ale7189@lionstate.edu,CHEM111,1,1,75
aja3132@lionstate.edu,STAT318,1,1,94
aro5704@lionstate.edu,CSE543,2,1,82
amo7945@lionstate.edu,CMPSC461,1,1,76
azu5256@lionstate.edu,IST110,2,1,73
abo9166@lionstate.edu,MATH140,2,1,64
aga6525@lionstate.edu,DS220,1,1,90
ami4349@lionstate.edu,MATH140,2,1,80
abr9092@lionstate.edu,CHEM110,1,1,69
ahe1989@lionstate.edu,IST128,1,1,84
ade2931@lionstate.edu,EE311,1,1,61
awi2065@lionstate.edu,PHYS213,2,1,60
lje9488@lionstate.edu,MATH140,2,1,75
rbr2525@lionstate.edu,EE320,1,1,76
ldi6656@lionstate.edu,IST110,2,1,91
mdi4539@lionstate.edu,CMPEN431,2,1,70
kfa9089@lionstate.edu,CMPEN362,2,1,89
pzi2408@lionstate.edu,CHEM112,1,1,79
mru3359@lionstate.edu,STAT319,1,1,85
sco1712@lionstate.edu,PHYS211,2,1,74
tpa5190@lionstate.edu,IST128,2,1,99
ihi8422@lionstate.edu,CMPEN331,2,1,100
mel3938@lionstate.edu,EE311,1,1,75
pri2221@lionstate.edu,CMPSC461,1,1,69
nku3451@lionstate.edu,EE211,1,1,63
jze6681@lionstate.edu,CMPSC475,1,1,90
jpa6316@lionstate.edu,ECON101,1,1,92
lke7167@lionstate.edu,MATH140,2,1,65
kst7090@lionstate.edu,ECON101,1,1,78
mst7516@lionstate.edu,STAT415,2,1,68
ihu2594@lionstate.edu,CMPSC431W,1,1,97
sma8389@lionstate.edu,STAT318,1,1,89
jsc7283@lionstate.edu,CMPSC475,2,1,76
mbl5527@lionstate.edu,DS120,2,1,85
mge3655@lionstate.edu,PHYS214,1,1,86
kca7584@lionstate.edu,EE211,1,1,64
rhi3330@lionstate.edu,DS120,2,1,69
jha3634@lionstate.edu,EE352,2,1,99
mse3018@lionstate.edu,ECON101,1,1,91
jle7688@lionstate.edu,ECON102,2,1,87
mre6097@lionstate.edu,PHYS213,2,1,63
mar7316@lionstate.edu,CMPEN270,1,1,60
rbo4096@lionstate.edu,CMPEN351,1,1,98
jco8261@lionstate.edu,PHYS211,1,1,68
kgu3649@lionstate.edu,EE352,2,1,68
lgr2017@lionstate.edu,CMPSC131,1,1,61
tpr4269@lionstate.edu,CMPEN441,2,1,80
sbo2144@lionstate.edu,IST128,1,1,68
vsa8991@lionstate.edu,IST110,2,1,90
mma8341@lionstate.edu,STAT319,1,1,91
tgl2369@lionstate.edu,CMPEN441,1,1,98
mku3151@lionstate.edu,CSE543,1,1,70
sal4395@lionstate.edu,CSE543,1,1,97
kni2503@lionstate.edu,ECON201,2,1,92
jki2803@lionstate.edu,CMPEN362,2,1,61
mdu3807@lionstate.edu,CMPSC448,1,1,95
mch6748@lionstate.edu,IST110,2,1,69
lla3945@lionstate.edu,CMPSC132,1,1,98
mre5662@lionstate.edu,ECON201,2,1,87
tba6345@lionstate.edu,EE311,2,1,65
wmo7407@lionstate.edu,MATH231,2,1,95
ko'2102@lionstate.edu,CHEM110,1,1,88
zjo1462@lionstate.edu,EE311,2,1,74
mba9287@lionstate.edu,PHYS211,1,1,85
mru3829@lionstate.edu,EE320,2,1,94
mde6603@lionstate.edu,EE311,1,1,87
kmi8049@lionstate.edu,DS120,2,1,75
sgl1030@lionstate.edu,CMPEN270,1,1,61
mst1558@lionstate.edu,MATH140,2,1,68
tmo8266@lionstate.edu,STAT318,2,1,82
jgr3574@lionstate.edu,CMPEN411,2,1,64
ycr1322@lionstate.edu,CMPEN270,1,1,83
sst9336@lionstate.edu,CSE583,1,1,70
rbo1548@lionstate.edu,PHYS214,2,1,86
zre8115@lionstate.edu,CHEM110,2,1,97
rch5723@lionstate.edu,EE212,2,1,81
jtu5218@lionstate.edu,CMPSC221,2,1,69
lob8984@lionstate.edu,CMPEN270,2,1,69
lru4870@lionstate.edu,CMPSC475,2,1,65
xgr6403@lionstate.edu,PHYS212,2,1,85
mel4420@lionstate.edu,CSE583,2,1,95
lre4938@lionstate.edu,EE211,1,1,61
she6009@lionstate.edu,CMPEN351,1,1,89
lan4217@lionstate.edu,EE320,2,1,96
msc4152@lionstate.edu,DS120,2,1,61
tba6085@lionstate.edu,CMPSC461,1,1,88
mmu4907@lionstate.edu,STAT415,1,1,85
tha7400@lionstate.edu,EE212,1,1,73
kko5971@lionstate.edu,MATH141,2,1,95
ndo9422@lionstate.edu,EE211,1,1,92
sbr4537@lionstate.edu,EE353,2,1,78
rru5828@lionstate.edu,CMPEN431,2,1,97
mma5417@lionstate.edu,CMPSC131,1,1,98
mre1388@lionstate.edu,PHYS213,1,1,96
lgi1280@lionstate.edu,CHEM110,2,1,98
jor1361@lionstate.edu,CMPEN331,2,1,72
mar8229@lionstate.edu,CMPSC221,2,1,63
rsc2927@lionstate.edu,IST110,1,1,71
mvo3769@lionstate.edu,CMPSC132,1,1,97
vwi2326@lionstate.edu,IST110,1,1,67
nre9702@lionstate.edu,ECON101,2,1,76
mal1707@lionstate.edu,CMPEN441,2,1,70
mco8919@lionstate.edu,EE211,2,1,69
lgo6567@lionstate.edu,CSE543,2,1,94
sha4650@lionstate.edu,CMPEN351,1,1,62
mtu7648@lionstate.edu,EE311,2,1,77
lto6036@lionstate.edu,CSE583,1,1,60
jwa5124@lionstate.edu,CMPSC465,1,1,65
kro8698@lionstate.edu,EE211,2,1,74
nfa5557@lionstate.edu,STAT319,2,1,74
md'3250@lionstate.edu,IST110,2,1,82
mbr4721@lionstate.edu,EE353,2,1,85
mki9627@lionstate.edu,CMPEN411,2,1,99
mka2323@lionstate.edu,STAT319,1,1,94
oco4309@lionstate.edu,EE330,1,1,85
kma2934@lionstate.edu,CMPSC461,1,1,83
jsc1133@lionstate.edu,CMPSC221,2,1,91
jwi1131@lionstate.edu,EE311,1,1,69
vla3135@lionstate.edu,CMPSC311,2,1,96
pha3837@lionstate.edu,STAT318,1,1,89
jhe9677@lionstate.edu,PHYS214,1,1,66
mwh8884@lionstate.edu,EE330,2,1,72
lda8145@lionstate.edu,EE330,1,1,60
mca2641@lionstate.edu,CSE583,2,1,62
lgi8755@lionstate.edu,CSE583,1,1,98
mma7996@lionstate.edu,CMPSC475,1,1,91
rco1350@lionstate.edu,CSE543,1,1,90
