aly8942@lionstate.edu,EE320,1
amu1270@lionstate.edu,PHYS212,2
aki5907@lionstate.edu,CMPEN411,2
ash5820@lionstate.edu,CMPSC360,1
ale8219@lionstate.edu,CMPSC497,2
ale8939@lionstate.edu,CMPSC360,1
ahi5324@lionstate.edu,CMPEN351,2
abe4600@lionstate.edu,PHYS211,1
akr4205@lionstate.edu,CMPSC465,2
ato9019@lionstate.edu,PHYS214,2
asc2712@lionstate.edu,CSE583,2
aha9325@lionstate.edu,STAT414,2
abo7856@lionstate.edu,CMPEN441,2
atr9605@lionstate.edu,CMPEN431,1
aok9861@lionstate.edu,PHYS212,2
ali8897@lionstate.edu,EE352,1
abe6138@lionstate.edu,EE340,1
ale7189@lionstate.edu,CHEM111,1
aja3132@lionstate.edu,STAT318,1
aro5704@lionstate.edu,CSE543,2
amo7945@lionstate.edu,CMPSC461,1
ast1122@lionstate.edu,IST558,2
azu5256@lionstate.edu,IST110,2
abo9166@lionstate.edu,MATH140,2
apa5949@lionstate.edu,CMPEN454,1
aga6525@lionstate.edu,DS220,1
ami4349@lionstate.edu,MATH140,2
abr9092@lionstate.edu,CHEM110,1
ahe1989@lionstate.edu,IST128,1
ade2931@lionstate.edu,EE311,1
awi2065@lionstate.edu,PHYS213,2
lje9488@lionstate.edu,MATH140,2
rbr2525@lionstate.edu,EE320,1
ldi6656@lionstate.edu,IST110,2
mdi4539@lionstate.edu,CMPEN431,2
kfa9089@lionstate.edu,CMPEN362,2
pzi2408@lionstate.edu,CHEM112,1
mru3359@lionstate.edu,STAT319,1
sco1712@lionstate.edu,PHYS211,2
tpa5190@lionstate.edu,IST128,2
ihi8422@lionstate.edu,CMPEN331,2
mel3938@lionstate.edu,EE311,1
pri2221@lionstate.edu,CMPSC461,1
nku3451@lionstate.edu,EE211,1
jze6681@lionstate.edu,CMPSC475,1
jpa6316@lionstate.edu,ECON101,1
lke7167@lionstate.edu,MATH140,2
kst7090@lionstate.edu,ECON101,1
mst7516@lionstate.edu,STAT415,2
ihu2594@lionstate.edu,CMPSC431W,1
sma8389@lionstate.edu,STAT318,1
jsc7283@lionstate.edu,CMPSC475,2
mbl5527@lionstate.edu,DS120,2
rmc1213@lionstate.edu,CMPEN454,1
mge3655@lionstate.edu,PHYS214,1
kca7584@lionstate.edu,EE211,1
rhi3330@lionstate.edu,DS120,2
jha3634@lionstate.edu,EE352,2
mse3018@lionstate.edu,ECON101,1
jle7688@lionstate.edu,ECON102,2
mre6097@lionstate.edu,PHYS213,2
mar7316@lionstate.edu,CMPEN270,1
rbo4096@lionstate.edu,CMPEN351,1
jco8261@lionstate.edu,PHYS211,1
kgu3649@lionstate.edu,EE352,2
lgr2017@lionstate.edu,CMPSC131,1
sgr6837@lionstate.edu,CMPSC497,2
tpr4269@lionstate.edu,CMPEN441,2
sbo2144@lionstate.edu,IST128,1
mha5312@lionstate.edu,CMPSC497,2
vsa8991@lionstate.edu,IST110,2
mma8341@lionstate.edu,STAT319,1
tgl2369@lionstate.edu,CMPEN441,1
mku3151@lionstate.edu,CSE543,1
sal4395@lionstate.edu,CSE543,1
kni2503@lionstate.edu,ECON201,2
jki2803@lionstate.edu,CMPEN362,2
mdu3807@lionstate.edu,CMPSC448,1
mch6748@lionstate.edu,IST110,2
lla3945@lionstate.edu,CMPSC132,1
mre5662@lionstate.edu,ECON201,2
tba6345@lionstate.edu,EE311,2
wmo7407@lionstate.edu,MATH231,2
jbr7032@lionstate.edu,CMPEN454,2
ko'2102@lionstate.edu,CHEM110,1
zjo1462@lionstate.edu,EE311,2
mba9287@lionstate.edu,PHYS211,1
mru3829@lionstate.edu,EE320,2
mde6603@lionstate.edu,EE311,1
kmi8049@lionstate.edu,DS120,2
sgl1030@lionstate.edu,CMPEN270,1
mst1558@lionstate.edu,MATH140,2
tmo8266@lionstate.edu,STAT318,2
jgr3574@lionstate.edu,CMPEN411,2
